seq_num,cage,mice_num,genotype,time,control,DSS,PEITC,cranberry
1,A,2,nrf2KO,baseline,1,0,0,0
2,A,4,nrf2KO,baseline,1,0,0,0
3,A,5,nrf2KO,baseline,1,0,0,0
4,B,2,nrf2KO,baseline,1,1,1,0
5,B,3,nrf2KO,baseline,1,1,1,0
6,B,4,nrf2KO,baseline,1,1,1,0
7,C,1,nrf2KO,baseline,1,1,0,1
8,C,3,nrf2KO,baseline,1,1,0,1
9,C,4,nrf2KO,baseline,1,1,0,1
10,D,1,nrf2KO,baseline,1,1,0,0
11,D,4,nrf2KO,baseline,1,1,0,0
12,D,5,nrf2KO,baseline,1,1,0,0
13,E,3,widetype,baseline,1,0,0,0
14,E,4,widetype,baseline,1,0,0,0
15,E,5,widetype,baseline,1,0,0,0
16,F,1,widetype,baseline,1,1,1,0
17,F,3,widetype,baseline,1,1,1,0
18,F,4,widetype,baseline,1,1,1,0
19,G,1,widetype,baseline,1,1,0,1
20,G,2,widetype,baseline,1,1,0,1
21,G,5,widetype,baseline,1,1,0,1
22,H,1,widetype,baseline,1,1,0,0
23,H,2,widetype,baseline,1,1,0,0
24,H,4,widetype,baseline,1,1,0,0
25,A,2,nrf2KO,week1,1,0,0,0
26,A,4,nrf2KO,week1,1,0,0,0
27,A,5,nrf2KO,week1,1,0,0,0
28,B,2,nrf2KO,week1,1,1,1,0
29,B,3,nrf2KO,week1,1,1,1,0
30,B,4,nrf2KO,week1,1,1,1,0
31,C,1,nrf2KO,week1,1,1,0,1
32,C,3,nrf2KO,week1,1,1,0,1
33,C,4,nrf2KO,week1,1,1,0,1
34,D,1,nrf2KO,week1,1,1,0,0
35,D,4,nrf2KO,week1,1,1,0,0
36,D,5,nrf2KO,week1,1,1,0,0
37,E,3,widetype,week1,1,0,0,0
38,E,4,widetype,week1,1,0,0,0
39,E,5,widetype,week1,1,0,0,0
40,F,1,widetype,week1,1,1,1,0
41,F,3,widetype,week1,1,1,1,0
42,F,4,widetype,week1,1,1,1,0
43,G,1,widetype,week1,1,1,0,1
44,G,2,widetype,week1,1,1,0,1
45,G,5,widetype,week1,1,1,0,1
46,A,2,nrf2KO,week8,1,0,0,0
47,A,4,nrf2KO,week8,1,0,0,0
48,A,5,nrf2KO,week8,1,0,0,0
49,B,2,nrf2KO,week8,1,1,1,0
50,B,3,nrf2KO,week8,1,1,1,0
51,B,4,nrf2KO,week8,1,1,1,0
52,C,1,nrf2KO,week8,1,1,0,1
53,C,3,nrf2KO,week8,1,1,0,1
54,C,4,nrf2KO,week8,1,1,0,1
55,D,1,nrf2KO,week8,1,1,0,0
56,D,4,nrf2KO,week8,1,1,0,0
57,D,5,nrf2KO,week8,1,1,0,0
58,E,3,widetype,week8,1,0,0,0
59,E,4,widetype,week8,1,0,0,0
60,E,5,widetype,week8,1,0,0,0
61,F,1,widetype,week8,1,1,1,0
62,F,3,widetype,week8,1,1,1,0
63,F,4,widetype,week8,1,1,1,0
64,G,1,widetype,week8,1,1,0,1
65,G,2,widetype,week8,1,1,0,1
66,G,5,widetype,week8,1,1,0,1
67,H,1,widetype,week1,1,1,0,0
68,H,2,widetype,week1,1,1,0,0
69,H,4,widetype,week1,1,1,0,0
70,H,1,widetype,week8,1,1,0,0
71,H,2,widetype,week8,1,1,0,0
72,H,4,widetype,week8,1,1,0,0
