umol/g,,Alanine,Glycine,Taurine,Phenylalanine,Glutamate,Serine,Valine,Threonine,Isoleucine,Asparagine,Aspartic acid,proline,Tyrosine,Citrulline,methionine sulfoxide,arginine,lysine,histidine,tryptophan,glutamine
190909X_YZ_QC1,QC1,3.79,2.76,0.34,1.40,9.38,2.29,3.07,2.32,2.73,0.88,3.18,1.47,2.02,2.42,1.09,1.02,5.39,0.26,0.36,0.46
190909X_YZ_S1,W2_KO_veh+CTL_A1,2.35,1.19,0.05,0.46,5.21,0.97,1.17,1.02,0.96,0.01,1.16,0.98,0.49,1.09,0.29,0.09,2.12,0.04,0.09,0.11
190909X_YZ_S2,W2_KO_veh+CTL_A2,1.65,1.03,0.06,0.57,4.06,1.29,1.62,1.19,1.36,0.02,1.16,0.79,0.61,0.77,0.53,0.46,2.08,0.10,0.13,0.22
190909X_YZ_S3,W2_KO_veh+CTL_A3,1.81,1.29,0.28,0.78,3.18,1.60,1.78,1.49,1.57,0.24,1.20,0.69,0.75,0.68,0.56,1.04,2.69,0.18,0.21,0.27
190909X_YZ_S4,W2_KO_veh+CTL_A4,1.93,1.33,0.13,0.81,4.07,1.57,2.08,1.49,1.64,0.42,1.59,0.89,0.76,1.04,0.72,0.67,2.80,0.18,0.19,0.29
190909X_YZ_S5,W2_KO_veh+CTL_A5,2.62,1.39,0.04,0.66,4.93,1.03,1.65,1.18,1.34,0.03,0.89,0.88,0.68,1.52,0.63,0.20,3.00,0.05,0.10,0.14
190909X_YZ_S6,W2_KO_DSS+PIC_B1,1.77,1.27,0.04,0.81,3.14,1.40,2.02,1.43,1.69,0.30,0.87,0.75,0.72,0.72,0.72,0.72,2.33,0.17,0.18,0.17
190909X_YZ_S7,W2_KO_DSS+PIC_B2,2.63,1.43,0.08,0.49,7.47,0.73,1.26,0.70,0.92,0.00,0.54,1.07,0.59,1.30,0.51,0.06,2.62,0.03,0.07,0.13
190909X_YZ_S8,W2_KO_DSS+PIC_B3,2.36,1.32,0.45,0.60,8.30,1.32,1.65,1.32,1.49,0.14,1.33,0.97,0.75,1.01,0.70,0.63,2.13,0.15,0.17,0.24
190909X_YZ_S9,W2_KO_DSS+PIC_B4,4.07,1.85,0.18,0.76,9.63,1.40,2.08,1.52,1.60,0.04,1.36,1.15,1.00,1.49,0.75,0.66,2.91,0.23,0.21,0.29
190909X_YZ_S10,W2_KO_DSS+PIC_B5,1.44,0.79,1.23,0.36,3.83,0.73,0.82,0.71,0.69,0.10,1.01,0.52,0.36,0.65,0.36,0.48,1.32,0.10,0.08,0.15
190909X_YZ_S11,W2_KO_DSS+CRA_C1,4.63,4.40,0.12,2.41,11.22,3.91,4.78,3.93,4.76,1.69,3.42,1.49,3.33,1.49,1.35,4.80,8.81,0.35,0.54,0.57
190909X_YZ_S12,W2_KO_DSS+CRA_C2,4.78,3.26,0.13,2.01,9.13,2.96,3.90,3.05,3.71,0.78,1.45,1.44,3.98,2.17,0.97,1.94,5.20,0.67,0.68,0.98
