Sample-id	sampleids	Time-point	Cage	Condition	Replicate
#q2:types	categorical	numeric	categorical	categorical	numeric
4A	S1	4	A	Control	1
4B	S2	4	B	Control	1
4C	S3	4	C	Control	1
5A1-C	S4	5	A	Control	1
5A1-P	S5	5	A	PEITC	1
5A2-C	S6	5	A	Control	2
5A2-P	S7	5	A	PEITC	2
5A3-C	S8	5	A	Control	3
5A3-P	S9	5	A	PEITC	3
5B1-C	S10	5	B	Control	1
5B1-P	S11	5	B	PEITC	1
5B2-C	S12	5	B	Control	2
5B2-P	S13	5	B	PEITC	2
5B3-C	S14	5	B	Control	3
5B3-P	S15	5	B	PEITC	3
5C1-C	S16	5	C	Control	1
5C1-P	S17	5	C	PEITC	1
5C2-C	S18	5	C	Control	2
5C2-P	S19	5	C	PEITC	2
5C3-C	S20	5	C	Control	3
5C3-P	S21	5	C	PEITC	3
9A1-C	S22	9	A	Control	1
9A1-P	S23	9	A	PEITC	1
9A2-C	S24	9	A	Control	2
9A2-P	S25	9	A	PEITC	2
9A3-C	S26	9	A	Control	3
9A3-P	S27	9	A	PEITC	3
9B1-C	S28	9	B	Control	1
9B1-P	S29	9	B	PEITC	1
9B2-C	S30	9	B	Control	2
9B2-P	S31	9	B	PEITC	2
9B3-C	S32	9	B	Control	3
9B3-P	S33	9	B	PEITC	3
9C1-C	S34	9	C	Control	1
9C1-P	S35	9	C	PEITC	1
9C2-C	S36	9	C	Control	2
9C2-P	S37	9	C	PEITC	2
9C3-C	S38	9	C	Control	3
9C3-P	S39	9	C	PEITC	3
